Frequency,Theta
9.64827e-06,0.994482
9.65288e-06,0.994915
9.65749e-06,0.995389
9.6621e-06,0.995084
9.66672e-06,0.995683
9.67133e-06,0.995395
9.67594e-06,0.995748
9.68055e-06,0.995455
9.68516e-06,0.996941
9.68977e-06,0.996595
9.69438e-06,0.995698
9.69899e-06,0.995909
9.70361e-06,0.995736
9.70822e-06,0.996175
9.71283e-06,0.995733
9.71744e-06,0.995866
9.72205e-06,0.995908
9.72666e-06,0.99612
9.73127e-06,0.995808
9.73588e-06,0.996426
9.7405e-06,0.995711
9.74511e-06,0.995166
9.74972e-06,0.995785
9.75433e-06,0.994726
9.75894e-06,0.994743
9.76355e-06,0.993872
9.76816e-06,0.99326
9.77277e-06,0.992687
9.77739e-06,0.991808
9.782e-06,0.991879
9.78661e-06,0.990623
9.79122e-06,0.989628
9.79583e-06,0.989937
9.80044e-06,0.990329
9.80505e-06,0.9907
9.80966e-06,0.991028
9.81428e-06,0.991309
9.81889e-06,0.992338
9.8235e-06,0.99231
9.82811e-06,0.993492
9.83272e-06,0.993321
9.83733e-06,0.991988
9.84194e-06,0.992272
9.84655e-06,0.992394
9.85117e-06,0.992332
9.85578e-06,0.992059
9.86039e-06,0.993106
9.865e-06,0.992883
9.86961e-06,0.992479
9.87422e-06,0.993542
9.87883e-06,0.993188
9.88344e-06,0.99289
9.88806e-06,0.99399
9.89267e-06,0.994537
9.89728e-06,0.99463
9.90189e-06,0.993851
9.9065e-06,0.993845
9.91111e-06,0.993347
9.91572e-06,0.993361
9.92034e-06,0.993767
9.92495e-06,0.994891
9.92956e-06,0.994338
9.93417e-06,0.993908
9.93878e-06,0.994469
9.94339e-06,0.995464
9.948e-06,0.995663
9.95261e-06,0.994655
9.95723e-06,0.994711
9.96184e-06,0.994648
9.96645e-06,0.994354
9.97106e-06,0.995134
9.97567e-06,0.994576
9.98028e-06,0.993228
9.98489e-06,0.993116
9.9895e-06,0.993609
9.99412e-06,0.993133
9.99873e-06,0.992305
1.00033e-05,0.993226
1.00079e-05,0.992783
1.00126e-05,0.993222
1.00172e-05,0.992425
1.00218e-05,0.992481
1.00264e-05,0.991752
1.0031e-05,0.991333
1.00356e-05,0.992024
1.00402e-05,0.992448
1.00448e-05,0.992188
1.00495e-05,0.992114
1.00541e-05,0.992282
1.00587e-05,0.993004
1.00633e-05,0.993295
1.00679e-05,0.993844
1.00725e-05,0.993861
1.00771e-05,0.992616
1.00817e-05,0.993576
1.00863e-05,0.993952
1.0091e-05,0.992993
1.00956e-05,0.994179
1.01002e-05,0.994607
